,names,scores,logfoldchanges,pvals,pvals_adj
5110,PTTG1IP,2.8725073,0.89536667,0.0041336584974460844,0.014086651110214274
5111,ORC4,2.8711407,0.9755681,0.004151920624401004,0.014143897382630772
5112,GMEB2,2.8701549,1.335392,0.004172439997182945,0.014208790117256719
5113,AGFG1,2.8700585,1.1373997,0.004168239024979495,0.014196985394507254
5114,MPDU1,2.8693357,0.7440028,0.004173618154938802,0.014210298628996318
5115,C5orf51,2.868928,0.8149039,0.004179269057995856,0.014227032691440983
5116,LINC01089,2.8677418,1.4168413,0.00419885814776537,0.014291200763894495
5117,L3MBTL2,2.8661165,1.1375806,0.004221292529693854,0.014365028751136003
5118,SHISAL2A,2.8654394,0.82979596,0.004225203008539415,0.014375805131501208
5119,ARL15,2.8648372,1.5668135,0.004237412134044662,0.014414808014598605
5120,ABL2,2.863853,1.6403502,0.004251587013681483,0.014460483087708849
5121,KLF16,2.8637629,1.8654206,0.004262350332928018,0.014491991131955262
5122,C15orf41,2.8626382,1.7670456,0.004273434880951466,0.01452201526264256
5123,APH1B,2.8624904,1.07489,0.004265931559966197,0.014501616447869615
5124,SP1,2.8622923,1.0873553,0.004269869762426021,0.01451245166835459
5125,TSR1,2.8615303,0.89342064,0.004278661870183781,0.01453466701033081
5126,AL138724.1,2.8611522,1.4407446,0.004292021879501573,0.014574928128757188
5127,IL15,2.8610504,1.3895549,0.004287797830390294,0.014563142552031979
5128,TARBP1,2.8600678,1.1028011,0.004299915363767731,0.014596604156351679
5129,FAM122C,2.8587825,1.1356643,0.00431824799962255,0.014656262613644298
5130,MORN1,2.8583746,3.2078335,0.004365523241479189,0.014801122388098796
5131,TSIX,2.8578475,4.4457827,0.00438241005814729,0.0148479586352198
5132,TAF11,2.857194,0.6930935,0.00433509389138539,0.014710854955510569
5133,SLC5A6,2.8561494,1.2783008,0.004356912653118585,0.014777112593811042
5134,TPST2,2.8558419,0.97031206,0.004356078073460077,0.014776874882750058
5135,GDF11,2.8555424,3.276899,0.004394486342549325,0.014886264723998581
5136,ZC3H3,2.8548188,1.3627883,0.0043813696896409975,0.014847036243175111
5137,LEPROTL1,2.854789,0.57750374,0.004367749688014976,0.014806073959951153
5138,AKT1S1,2.8523264,1.4116982,0.004414036598522773,0.014944633633359026
5139,PSTPIP1,2.8520017,0.87695605,0.004406535930402414,0.014921852312324502
5140,IRF2BP2,2.8509026,0.52611065,0.004421019111568511,0.014965652961034633
5141,FBXO7,2.8505905,0.52444255,0.004425325277174157,0.01497760677333204
5142,IFT172,2.8505075,2.4535995,0.004460418636746144,0.01509109606680662
5143,LMF1,2.8504982,2.194049,0.004453251601819944,0.01506948533115856
5144,ZNF79,2.8500218,2.7749658,0.004480776534566553,0.015141421265146312
5145,EFL1,2.8480675,1.2224529,0.004464535595773998,0.01510238161195583
5146,ZBTB4,2.8479095,1.2848954,0.004466254224091394,0.015105551688094935
5147,APOL6,2.8470788,0.72638476,0.0044751239065321195,0.015127609302091524
5148,ZNF302,2.8464284,1.0431024,0.0044877086962979516,0.015156896975492417
5149,ENGASE,2.8451514,2.1708577,0.004518597120662133,0.015253224545106246
5150,EGLN2,2.8449702,0.57531714,0.004503898754371942,0.015208920164789527
5151,TXNL1,2.8446465,0.46965474,0.004508265906085975,0.015221008156984423
5152,PIGV,2.8437092,2.7025502,0.004564131230015285,0.015396176709418055
5153,FBXW2,2.8435228,0.9233058,0.004526562534353543,0.015277444949628015
5154,ZXDA,2.8416712,2.090071,0.004565874899394368,0.015399371127271634
5155,NPRL3,2.8416336,1.142994,0.004562694624589667,0.015394017175544367
